contract_id,instrument_id,is_option,option_type,expiry_date,strike,root,multiplier,exchange_code
83d5a4aa-ad48-5b0f-9eec-614edff332a8,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-06-11,5315.0,SPX,100.0,
7aab5c34-74e8-5008-a895-fc3480f3ff0b,63fe1d4b-a9fd-556c-8e0b-b9b581e9e1aa,True,PUT,2024-05-10,5230.0,/ES,50.0,
39eca75a-a882-5bd3-9a4a-552c83e56597,6331d67b-8546-57f4-91f0-47e6e1a1c93c,True,PUT,2024-05-17,500.0,SPY,100.0,
6abf73cf-64c2-5f39-9154-90afa9b61abb,63fe1d4b-a9fd-556c-8e0b-b9b581e9e1aa,True,PUT,2024-05-10,5200.0,/ES,50.0,
612e4946-af6a-574d-89b6-c2aae8cfd437,63fe1d4b-a9fd-556c-8e0b-b9b581e9e1aa,True,PUT,2024-05-09,5200.0,/ES,50.0,
879cbd52-1ff6-5257-8b65-1eb248e0ae5f,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-05-06,5120.0,SPX,100.0,
cdf198c3-dbed-50e8-843f-e3d8f3cd44d9,4e8fb84b-74be-561b-a2f3-2df71524019b,True,PUT,2024-05-17,750.0,NVDA,100.0,
abc20f4e-ec77-5d49-aeb0-2153f7b5b244,6e03808a-c3f7-5d17-8203-c886695246f8,True,PUT,2024-05-20,17650.0,/NQ,20.0,
b77008e0-90d8-5b48-b923-e2e9b2dcd615,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-05-03,5100.0,SPX,100.0,
f2e7c135-f29d-5016-87c4-95be55d5dc7a,4e8fb84b-74be-561b-a2f3-2df71524019b,True,PUT,2024-05-03,860.0,NVDA,100.0,
915a01cb-b9a8-53fd-ae19-170a685b7d49,63fe1d4b-a9fd-556c-8e0b-b9b581e9e1aa,True,PUT,2024-05-03,5100.0,/ES,50.0,
def81c1a-9bd2-5e2b-89de-58e7cfa6e1ab,c5e4f392-edc9-57bf-8dea-3fe7d26fd2a1,True,CALL,2024-05-03,405.0,MSFT,100.0,
f20c5627-20f0-5d04-b6dc-a8d02c7dc67f,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-05-02,5060.0,SPX,100.0,
2df1c349-4bad-56e0-a042-e31f49df0876,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-05-02,5030.0,SPX,100.0,
f68de46d-9315-53ac-b97b-ee535e3df6b6,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,PUT,2024-05-02,5025.0,SPX,100.0,
6da45a03-d96c-5c0a-849f-fcd431e211d3,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-05-02,5060.0,SPX,100.0,
df683d7d-b387-5bcd-b8c5-32189f92ad79,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-05-02,5080.0,SPX,100.0,
16a8dbdf-c825-525f-be34-d3861a2a9773,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-05-03,900.0,NVDA,100.0,
fb072c2c-570e-531f-8340-374a7b6ed77c,63fe1d4b-a9fd-556c-8e0b-b9b581e9e1aa,True,PUT,2024-05-02,5040.0,/ES,50.0,
149c1879-9bd8-59fd-bf0b-349f701b8d7c,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-05-02,5100.0,SPX,100.0,
2ddf2bda-4ae3-5ee5-ae3b-bf79c41745cb,2d6b1117-2779-55df-b25a-d99dfe56cb92,True,CALL,2024-05-02,5120.0,SPX,100.0,
1af59cd8-0df7-5f75-be8a-e89c0420aed4,4e8fb84b-74be-561b-a2f3-2df71524019b,True,CALL,2024-05-03,870.0,NVDA,100.0,
