round_trip_id,account,symbol,contract_multiplier,is_option,expiry_date,strike,option_type,qty,open_side,close_side,open_price,close_price,gross_open_value,gross_close_value,realized_pnl,open_trade_id,close_trade_id,open_dt,close_dt,days_held,synthetic_expiration
23,*****0960TDA,SPX,100.0,True,2024-05-06,5120.0,PUT,2,BUY,SELL,0.850000,0.000000,170.00,0.00,-170.00,65906386294,SYN_EXP,2024-05-06T10:08:35-05:00,2024-05-06T23:59:59,0.369028,True
24,*****0960TDA,SPX,100.0,True,2024-05-06,5120.0,PUT,1,BUY,SELL,0.850000,0.000000,85.00,0.00,-85.00,65906386292,SYN_EXP,2024-05-06T10:08:35-05:00,2024-05-06T23:59:59,0.369028,True
25,*****0960TDA,SPX,100.0,True,2024-05-06,5120.0,PUT,1,BUY,SELL,0.850000,0.000000,85.00,0.00,-85.00,65906386296,SYN_EXP,2024-05-06T10:08:35-05:00,2024-05-06T23:59:59,0.369028,True
26,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747985,65812608990,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
27,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747985,65812608972,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
28,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,4.400000,4.600000,880.00,920.00,40.00,65810747985,65812608982,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
29,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747985,65812608994,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
30,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,5,BUY,SELL,4.400000,4.600000,2200.00,2300.00,100.00,65810747983,65812608994,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
31,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,4,BUY,SELL,4.400000,4.600000,1760.00,1840.00,80.00,65810747981,65812608994,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
32,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,4.400000,4.600000,880.00,920.00,40.00,65810747981,65812608988,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
33,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,3,BUY,SELL,4.400000,4.600000,1320.00,1380.00,60.00,65810747981,65812608974,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
34,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,8,BUY,SELL,4.400000,4.600000,3520.00,3680.00,160.00,65810747981,65812608992,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
35,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,3,BUY,SELL,4.400000,4.600000,1320.00,1380.00,60.00,65810747981,65812608978,2024-05-02T08:34:33-05:00,2024-05-02T08:36:10-05:00,0.001123,False
36,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,5,BUY,SELL,4.400000,4.600000,2200.00,2300.00,100.00,65810747987,65812608978,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
37,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,4.400000,4.600000,880.00,920.00,40.00,65810747991,65812608978,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
38,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747991,65812608984,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
39,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747991,65812608980,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
40,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747991,65812608968,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
41,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747989,65812608986,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
42,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747989,65812608976,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
43,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,3,BUY,SELL,4.400000,4.600000,1320.00,1380.00,60.00,65810747989,65812608970,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
44,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,4,BUY,SELL,4.400000,4.600000,1760.00,1840.00,80.00,65810747995,65812608970,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
45,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,4.400000,4.600000,440.00,460.00,20.00,65810747993,65812608970,2024-05-02T08:34:34-05:00,2024-05-02T08:36:10-05:00,0.001111,False
46,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,50,BUY,SELL,3.650000,0.000000,18250.00,0.00,-18250.00,65833908502,SYN_EXP,2024-05-02T12:46:10-05:00,2024-05-17T23:59:59,15.259595,True
47,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,2.080000,0.000000,208.00,0.00,-208.00,65851775164,SYN_EXP,2024-05-03T08:30:14-05:00,2024-05-17T23:59:59,14.437326,True
48,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,4,BUY,SELL,2.080000,0.000000,832.00,0.00,-832.00,65851775162,SYN_EXP,2024-05-03T08:30:14-05:00,2024-05-17T23:59:59,14.437326,True
49,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,10,BUY,SELL,2.080000,0.000000,2080.00,0.00,-2080.00,65851775168,SYN_EXP,2024-05-03T08:30:14-05:00,2024-05-17T23:59:59,14.437326,True
50,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,3,BUY,SELL,2.080000,0.000000,624.00,0.00,-624.00,65851775166,SYN_EXP,2024-05-03T08:30:14-05:00,2024-05-17T23:59:59,14.437326,True
51,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,2.080000,0.000000,416.00,0.00,-416.00,65851775158,SYN_EXP,2024-05-03T08:30:14-05:00,2024-05-17T23:59:59,14.437326,True
52,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,2.080000,0.000000,416.00,0.00,-416.00,65851775160,SYN_EXP,2024-05-03T08:30:14-05:00,2024-05-17T23:59:59,14.437326,True
53,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,3,BUY,SELL,2.080000,0.000000,624.00,0.00,-624.00,65851775156,SYN_EXP,2024-05-03T08:30:14-05:00,2024-05-17T23:59:59,14.437326,True
54,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,15,BUY,SELL,1.770000,0.000000,2655.00,0.00,-2655.00,65856171283,SYN_EXP,2024-05-03T08:50:18-05:00,2024-05-17T23:59:59,14.423391,True
55,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,5,BUY,SELL,1.780000,0.000000,890.00,0.00,-890.00,65863462544,SYN_EXP,2024-05-03T09:45:53-05:00,2024-05-17T23:59:59,14.384792,True
56,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,1.780000,0.000000,356.00,0.00,-356.00,65863462531,SYN_EXP,2024-05-03T09:45:53-05:00,2024-05-17T23:59:59,14.384792,True
57,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,3,BUY,SELL,1.780000,0.000000,534.00,0.00,-534.00,65863462529,SYN_EXP,2024-05-03T09:45:53-05:00,2024-05-17T23:59:59,14.384792,True
58,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,1,BUY,SELL,1.350000,0.000000,135.00,0.00,-135.00,65875150517,SYN_EXP,2024-05-03T12:20:21-05:00,2024-05-17T23:59:59,14.277523,True
59,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,5,BUY,SELL,1.360000,0.000000,680.00,0.00,-680.00,65875150601,SYN_EXP,2024-05-03T12:20:45-05:00,2024-05-17T23:59:59,14.277245,True
60,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,5,BUY,SELL,1.380000,0.000000,690.00,0.00,-690.00,65875150594,SYN_EXP,2024-05-03T12:20:45-05:00,2024-05-17T23:59:59,14.277245,True
61,*****0960TDA,NVDA,100.0,True,2024-05-17,750.0,PUT,2,BUY,SELL,1.250000,0.000000,250.00,0.00,-250.00,65893132607,SYN_EXP,2024-05-06T08:30:36-05:00,2024-05-17T23:59:59,11.437072,True
